Module	Count
antiquewhite1	12
antiquewhite2	17
antiquewhite4	23
bisque4	27
black	337
blue	3011
blue2	20
blue3	10
blue4	14
blueviolet	14
brown	2424
brown1	10
brown2	20
brown4	29
chocolate4	12
coral	17
coral1	24
coral2	23
coral3	17
coral4	12
cyan	86
darkgreen	59
darkgrey	56
darkmagenta	39
darkolivegreen	41
darkolivegreen1	10
darkolivegreen2	14
darkolivegreen4	20
darkorange	50
darkorange2	30
darkred	61
darkseagreen2	12
darkseagreen3	17
darkseagreen4	24
darkslateblue	27
darkturquoise	56
darkviolet	19
deeppink	14
deeppink1	10
firebrick2	11
firebrick3	15
firebrick4	21
floralwhite	30
green	679
green4	12
greenyellow	110
grey60	75
honeydew	17
honeydew1	24
indianred2	11
indianred3	15
indianred4	21
ivory	31
lavenderblush1	12
lavenderblush2	17
lavenderblush3	25
lightblue3	11
lightblue4	15
lightcoral	21
lightcyan	77
lightcyan1	32
lightgreen	68
lightpink2	12
lightpink3	18
lightpink4	25
lightskyblue4	11
lightslateblue	15
lightsteelblue	21
lightsteelblue1	32
lightyellow	64
magenta	175
magenta3	13
magenta4	18
maroon	25
mediumorchid	23
mediumpurple	11
mediumpurple1	15
mediumpurple2	21
mediumpurple3	32
mediumpurple4	16
midnightblue	79
mistyrose	11
navajowhite	13
navajowhite1	18
navajowhite2	25
orange	53
orangered	11
orangered1	16
orangered3	21
orangered4	34
paleturquoise	47
palevioletred1	13
palevioletred2	18
palevioletred3	26
pink	230
pink3	11
pink4	16
plum	21
plum1	35
plum2	26
plum3	19
plum4	13
powderblue	10
purple	130
red	456
royalblue	63
saddlebrown	48
salmon	87
salmon1	13
salmon2	18
salmon4	26
sienna2	11
sienna3	36
sienna4	16
skyblue	50
skyblue1	22
skyblue2	22
skyblue3	36
skyblue4	16
slateblue	11
steelblue	48
tan	88
tan3	10
tan4	13
thistle	18
thistle1	26
thistle2	26
thistle3	18
thistle4	13
tomato	10
turquoise	7297
violet	45
white	50
yellow	1811
yellow2	11
yellow3	16
yellow4	22
yellowgreen	36
