Module	Count
antiquewhite1	12
antiquewhite2	17
antiquewhite4	19137
blue3	10
brown1	10
brown2	20
chocolate4	12
coral1	24
coral2	23
coral3	17
coral4	12
darkolivegreen1	10
darkolivegreen2	14
darkseagreen2	12
deeppink	14
deeppink1	10
firebrick2	11
green4	12
indianred3	15
indianred4	21
lavenderblush1	12
lavenderblush3	25
lightblue3	11
lightblue4	15
lightcoral	21
lightpink2	12
lightpink4	25
lightskyblue4	11
lightslateblue	15
magenta4	18
mediumpurple	11
mediumpurple1	15
mediumpurple2	21
navajowhite	13
navajowhite2	25
orangered	11
orangered1	16
palevioletred1	13
pink4	16
plum	21
plum3	19
plum4	13
powderblue	10
salmon1	13
salmon2	18
sienna2	11
sienna3	36
sienna4	29
skyblue2	22
skyblue4	16
slateblue	11
tan3	10
thistle3	18
thistle4	13
tomato	10
yellow2	11
